Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Citroen,C3,1.6 VTi,2018,Diesel,Hatchback,White,Hadsund,Manual,https://www.bilbasen.dk/brugt/bil/citron/c3/16-bluehdi-100-skyline-5d/5993284,6,10695,134000,74.0,Denmark
Citroen,C3,1.6,2019,Diesel,Hatchback,White,Hadsund,Manual,https://www.bilbasen.dk/brugt/bil/citron/c3/15-bluehdi-100-skyline-5d/5937899,6,10695,154000,74.0,Denmark
Fiat,500c,1.2,2013,Petrol,Convertible,Gray,Frederiksberg,Manual,https://www.bilbasen.dk/brugt/bil/fiat/500c/09-twinair-85-s-2d/6095447,5,9851,133000,63.0,Denmark
Audi,A6,2.0 TDI,2012,Diesel,Sedan,Gray,Bramming,Automatic,https://bilhandel.dk/audi-a6-20-tdi-177-avant-multitr/id-1579842,5,17397,225000,177.0,Denmark
Kia,Picanto,1.0,2012,Petrol,Mini,Black,Bagsværd,Manual,https://bilhandel.dk/kia-picanto-10-exclusive/id-1580513,5,7236,125000,69.0,Denmark
Toyota,Auris,1.8 Hybrid,2016,Petrol,Hatchback,White,Hadsund,Automatic,https://www.guloggratis.dk/annonce/c6c8109e-cce7-4a82-8c52-b4be4498d84c,6,17397,74000,86.0,Denmark
Toyota,Aygo,1.0,2020,Petrol,Mini,White,Køge,Manual,https://www.bilbasen.dk/brugt/bil/toyota/aygo/10-vvt-i-x-press-5d/6102969,6,14059,20000,53.0,Denmark
Citroen,C4 Picasso,2.0 bluehdi,2014,Diesel,Mpv,Gray,Roskilde,Automatic,https://www.bilbasen.dk/brugt/bil/citron/grand-c4-picasso/20-bluehdi-150-intensive-eat6-7prs-5d/6101065,6,15400,174000,111.0,Denmark
Volvo,V40,1.6,2013,Diesel,Wagon,Red,Silkeborg,Manual,https://www.bilbasen.dk/brugt/bil/volvo/v40/16-d2-115-kinetic-5d/6068431,5,11111,214000,85.0,Denmark
Volkswagen,Touran,1.6 TDI,2019,Diesel,Mpv,Blue,Roskilde,Automatic,https://www.bilbasen.dk/brugt/bil/vw/touran/16-tdi-115-comfortline-connect-dsg-7prs-5d/6092814,6,24112,196500,85.0,Denmark
Mazda,2,1.5,2017,Petrol,Mini,Brown,Køge,Automatic,https://www.bilbasen.dk/brugt/bil/mazda/2/15-skyactiv-g-90-vision-aut-5d/6105801,6,15668,103000,67.0,Denmark
Hyundai,I10,1.0,2024,Petrol,Mini,White,Søborg,Manual,https://www.bilbasen.dk/brugt/bil/hyundai/i10/10-mpi-advanced-5d/6083539,6,21297,3000,49.0,Denmark
Hyundai,I10,1.0,2024,Petrol,Mini,Green,Søborg,Manual,https://www.bilbasen.dk/brugt/bil/hyundai/i10/10-mpi-advanced-5d/6083524,6,21163,3000,49.0,Denmark
