Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Ford,Kuga,1.5,2017,Diesel,Suv,Brown,Dieppe,Automatic,https://www.auto-selection.com/voiture-occasion/ford-kuga/23993825.html,6,20490,62318,89.0,France
Jeep,Cherokee,4.0 Limited,2017,Diesel,Suv,Black,Gaillard,Automatic,https://www.leparking.fr/voiture-occasion-detail/jeep-cherokee/2-2-multijet-200ch-limited-active-drive-i-bva-s-s/8VD0LV64.html,6,23399,83500,149.0,France
Volkswagen,T-Cross,1.0 tsi,2019,Petrol,Crossover,Gray,Albi,Automatic,https://fr.renew.auto/achat-vehicules-occasions/detail.html?productId=VEH_00000977_VO415054,6,19990,37916,115.0,France
Renault,Kadjar,1.6 tce,2017,Petrol,Suv,Black,Tours,Manual,https://occasion.autoplus.fr/voiture-occasion-renault-kadjar-16-tce-165ch-energy-intens-756975/,6,17900,100,121.0,France
Renault,Kadjar,1.7 dci,2019,Diesel,Suv,Gray,Rivery,Manual,https://occasion.autoplus.fr/voiture-occasion-renault-kadjar-17-blue-dci-150ch-intens-4x4-576503/,6,18990,69406,111.0,France
Seat,Ateca,1.5 tsi,2022,Petrol,Suv,Gray,Seynod,Automatic,https://www.auto-selection.com/voiture-occasion/seat-ateca/23867492.html,6,29490,41446,111.0,France
Porsche,Macan,2.9 Turbo,2019,Petrol,Suv,Black,Saint-Quentin,Automatic,https://www.leparking.fr/voiture-occasion-detail/porsche-macan-turbo/porsche-macan-2-9-v6-440ch-turbo-pdk-euro6d-t-evap-isc/1S56CFGW.html,6,103900,50674,328.0,France
Nissan,Qashqai,1.3,2022,Petrol,Crossover,Gray,Saint-Quentin,Automatic,https://www.leparking.fr/voiture-occasion-detail/nissan-qashqai/1-3-mild-hybrid-158ch-tekna-xtronic/DFKTUB7Z.html,6,32900,19985,117.0,France
Seat,Leon,1.8,2021,Petrol,Hatchback,Gray,Saran,Automatic,https://fr.renew.auto/achat-vehicules-occasions/detail.html?productId=VEH_00001151_VO019574,6,25980,18855,150.0,France
Land Rover,Range Rover,4.4 SDV8,2017,Diesel,Suv,Black,Mérignac,Automatic,https://www.autosphere.fr/fiche/auto-occasion-land-rover-range-rover-4-4-sdv8-339ch-autobiography-swb-mark-vi-33700-merignac-240209,6,50990,117978,252.0,France
Nissan,Qashqai,1.2,2018,Petrol,Crossover,Red,Mantes La Ville,Manual,https://fr.renew.auto/achat-vehicules-occasions/detail.html?productId=VEH_00001260_VO110732,6,16650,53867,115.0,France
Porsche,Panamera,4.8 S,2014,Hybrid,Sedan,Black,Chambray Les Tours,Automatic,https://www.leparking.fr/voiture-occasion-detail/porsche-panamera-s/porsche-panamera-s-v6-3-0-416-hybrid-tiptronic/VPTNNCG8.html,6,39990,136898,248.0,France
Seat,Arona,1.0 tsi,2019,Petrol,Crossover,Orange,Serignan-du-Comtat,Automatic,https://www.leparking.fr/voiture-occasion-detail/seat-arona/seat-arona-1-0-ecotsi-115ch-start-stop-xcellence-dsg-euro6d-t/WAA5JW41.html,6,17499,61595,85.0,France
Chevrolet,Corvette,6.2,2016,Petrol,Convertible,White,Paris,Automatic,https://www.paruvendu.fr/a/voiture-occasion/chevrolet/corvette/1270800067A1KVVOCVCOR,6,109900,26153,491.0,France
Porsche,Macan,2.9 Turbo,2019,Petrol,Suv,Gray,Nîmes,Automatic,https://www.leparking.fr/voiture-occasion-detail/porsche-macan-turbo/porsche-macan-2-9-v6-440ch-turbo-pdk-euro6d-t-evap-isc/Y33G1PKS.html,6,83999,40223,328.0,France
Lexus,Rx,450h,2019,Hybrid,Suv,White,Saint-Avertin,Automatic,https://www.paruvendu.fr/a/voiture-occasion/lexus/rx/1272522206A1KVVOLXRX,6,43499,71335,263.0,France
Mercedes Benz,A-Class,180d,2021,Diesel,Sedan,Black,Puilboreau,Automatic,https://www.leparking.fr/voiture-occasion-detail/mercedes-classe-a-a-180/iv-180-d-amg-line-8g-dct/OLM1MRLS.html,6,28890,52831,86.0,France
Volkswagen,Touran,1.5,2020,Diesel,Mpv,Blue,Chambray Les Tours,Automatic,https://www.leparking.fr/voiture-occasion-detail/volkswagen-touran/volkswagen-touran-business-2-0-tdi-150-dsg7-5pl-lounge/ZWDH1I64.html,6,19990,126078,111.0,France
Audi,Sq7,4.0 TDI,2018,Diesel,Suv,Black,Liévin,Automatic,https://www.leparking.fr/voiture-occasion-detail/audi-q7-sq7/generation2-4-0-tdi-435-quattro-tiptronic-7pl/JYOK6S1F.html,6,59990,107844,324.0,France
Jeep,Cherokee,4.0 Limited,2017,Diesel,Suv,Black,Gaillard,Automatic,https://www.leparking.fr/voiture-occasion-detail/jeep-cherokee/2-2-multijet-200ch-limited-active-drive-i-bva-s-s/8VD0LV64.html,6,23399,83500,149.0,France
Seat,Ateca,1.5 tsi,2022,Petrol,Suv,Gray,Seynod,Automatic,https://www.auto-selection.com/voiture-occasion/seat-ateca/23867492.html,6,29490,41446,111.0,France
Ford,Fiesta,1.0 EcoBoost,2016,Petrol,Sedan,Black,Montélimar,Automatic,https://fr.renew.auto/achat-vehicules-occasions/detail.html?productId=VEH_00000043_VO231310,6,13400,45800,100.0,France
Seat,Leon,1.8,2021,Petrol,Hatchback,Gray,Saran,Automatic,https://fr.renew.auto/achat-vehicules-occasions/detail.html?productId=VEH_00001151_VO019574,6,25980,18855,150.0,France
Škoda,Octavia,2.0 TDI,2018,Diesel,Wagon,Gray,Gaillard,Automatic,https://www.gueudet.fr/voiture/occasion/skoda/octavia-break/20-tdi-150ch-cr-fap-clever-dsg6/52487,6,15890,115932,111.0,France
