Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Mazda,Cx-5,2.5,2023,Petrol,Crossover,Black,Hamburg,Automatic,https://www.12gebrauchtwagen.de/c/16/1420683921?num_on_page=3&page=53&premium=false&title=Mazda+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,35890,11732,144.0,6,Germany
Audi,A1,1.0 30 TFSI,2019,Petrol,Mini,Yellow,Rain,Manual,https://www.12gebrauchtwagen.de/c/16/1413600396?num_on_page=3&page=50&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,24890,42490,85.0,6,Germany
Bmw,5 Series,530d,2017,Diesel,Wagon,Blue,Uslar,Automatic,https://www.12gebrauchtwagen.de/c/4/1426300510?num_on_page=4&page=14&title=BMW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,25490,114600,197.0,6,Germany
Audi,Q2,1.5 35 TFSI,2024,Petrol,Crossover,Black,Rain,Automatic,https://www.instamotion.com/auto/FVOM-LT66-MXTR,39130,2500,110.0,6,Germany
Volvo,Xc40,1.5,2023,Hybrid,Crossover,Gray,Aachen,Automatic,https://www.moll-automobile.de/fahrzeug/385196040/Pkw/volvo-xc40-plus-dark-recharge-plug-in-hybrid-2wd-t5-tw,46980,14839,194.0,6,Germany
Volvo,Xc40,2.0 B4,2023,Petrol,Crossover,Blue,Aachen,Automatic,https://www.moll-automobile.de/fahrzeug/385199080/Pkw/volvo-xc40-plus-dark-2wd-b4-eu6d-navi-digitales-cockpi,41890,11582,146.0,6,Germany
Land Rover,Range Rover Sport,3.0,2016,Diesel,Suv,White,Villingen Schwenningen,Automatic,https://www.12gebrauchtwagen.de/c/4/1424732742?num_on_page=1&page=71&title=Land+Rover+Gebrauchtwagen+in+Offenburg+kaufen+auf+12Gebrauchtwagen.de,33900,118575,190.0,6,Germany
Bmw,X3,xDrive30d,2022,Diesel,Suv,Black,Rain,Automatic,https://www.12gebrauchtwagen.de/c/16/1426180988?num_on_page=3&page=11&premium=false&title=BMW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,54189,55500,210.0,6,Germany
Audi,Q3,2.0 35 TDI,2023,Diesel,Crossover,White,Rain,Automatic,https://www.instamotion.com/auto/CYZ7-9KIP-QFJO,48070,3900,110.0,6,Germany
Ford,Ecosport,1.0 EcoBoost,2019,Petrol,Suv,Gray,Ulm,Manual,https://www.12gebrauchtwagen.de/c/4/1419520629?num_on_page=3&page=29&premium=false&title=Ford+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,18280,22910,104.0,6,Germany
