Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Audi,A3,1.6 diesel,2016,Diesel,Sedan,Black,Apeldoorn,Automatic,https://autovooru.nl/audi-a3_sportback~c3-aec-39e05c.html,6,12900,261594,82.0,Netherlands
Nissan,Note,1.2,2014,Petrol,Mpv,Black,Middelburg,Automatic,https://www.zeelandnet.nl/prikbord/nissan-note-12-dig-s-connect-edition-navigatie-keyless-entry-achterbank-verstelbaar-cruise-climate-control-bluetooth-tel-rijklaarprijs/a/6484085,6,10700,44549,73.0,Netherlands
Nissan,Leaf,40 kWh,2019,Electric,Hatchback,Silver,Tilburg,Automatic,https://www.nederlandmobiel.nl/tweedehands-auto/nissan/leaf-tekna-40-kwh-lederalcantara-propilot-stoel-stuurwielverwarming-achterbank-verwarmd-bose-audio-full-map-navigatie-privacy-glass/18628360,6,17240,92555,111.0,Netherlands
Nissan,Leaf,e+ 62 kWh,2019,Electric,Hatchback,Silver,Tilburg,Automatic,https://www.vanmossel.nl/voorraad/s/1365472-nissan-leaf,6,21740,56644,162.0,Netherlands
Kia,Sportage,1.6 T-GDi,2016,Petrol,Crossover,White,Helmond,Automatic,https://www.marktplaats.nl/v/auto-s/kia/m2086014471-kia-sportage-1-6-t-gdi-4wd-gt-line-plusline-stoel-verarmin,6,21950,123871,131.0,Netherlands
Opel,Corsa,1.2,2022,Petrol,Van,Black,Hardenberg,Manual,https://autovooru.nl/opel-corsa~138-409-3c1fd1.html,6,17800,26490,76.0,Netherlands
Bmw,X1,2.0 sdrive20i,2015,Petrol,Suv,Silver,Middelburg,Automatic,https://www.zeelandnet.nl/prikbord/bmw-x1-sdrive20i-chrome-line-trekhaak-panoramadak-navigatie-full-map-leder-stoelverwarming-bi-xenon-sportstoelen-rijklaarprijs/a/6150497,6,22445,100553,137.0,Netherlands
Audi,A6,2.0 tfsi,2012,Petrol,Sedan,Black,Apeldoorn,Automatic,https://www.autotrader.nl/auto/voertuig/audi-a6-limousine-20-tfsi-pro-line-s-s-line-19-lm-airco-benzine/02ca4ed2-7f33-4d22-a7e6-e2a95b3fda9c/,5,15900,223593,133.0,Netherlands
Nissan,Qashqai,1.3 DIG-T,2019,Petrol,Crossover,Silver,Helmond,Automatic,https://www.autokopen.nl/tweedehands-auto/nissan/qashqai/9183629-nissan-qashqai-13-dig-t-n-connecta-360-camera-navigatie-trekhaak-panodak-ecc-info-fbogaar,6,21940,57074,105.0,Netherlands
Mercedes Benz,Cls-Class,6.2 250,2014,Diesel,Sedan,Black,Apeldoorn,Automatic,https://autovooru.nl/mercedesbenz-clsklasse~129-3f1-39e0f1.html,6,17900,297696,198.0,Netherlands
Nissan,Qashqai,1.2,2018,Petrol,Crossover,Black,Haarlem,Automatic,https://www.autokopen.nl/tweedehands-auto/nissan/qashqai/9186511-nissan-qashqai-automaat-12-acenta-connect,6,21950,59498,86.0,Netherlands
Nissan,Micra,1.0,2018,Petrol,Mini,Black,Haarlem,Manual,https://www.autotrader.nl/auto/voertuig/nissan-micra-10l-acenta-carplay-android-benzine/2d4f11f2-8354-4419-b77f-56c5b655bbf3/,6,12350,44471,52.0,Netherlands
Nissan,Juke,1.0 DIG-T,2020,Petrol,Crossover,Red,Harderwijk,Manual,https://usedcars.nissan.nl/nissan-voorraad/voertuigen/nissan/juke/10-dig-t-acenta-comfort-pack/19350117,6,20450,24864,87.0,Netherlands
Ford,Focus,1.0 ecoboost titanium,2019,Petrol,Hatchback,Silver,Raalte,Manual,https://www.nederlandmobiel.nl/tweedehands-auto/ford/focus-10-ecoboost-125-pk-titanium-business-stoel-stuurverwarming-donker-glas-17-inch-navi-cruide-clima-pdc-voor-achter-camera-app-connect/18777577,6,15695,116155,93.0,Netherlands
Nissan,Note,1.2,2015,Petrol,Mpv,White,Sittard,Automatic,https://www.nederlandmobiel.nl/tweedehands-auto/nissan/note-12-dig-s-connect-edition-nav-climate-control-pdc-bluetooth-cruise-control-automaat/18829684,6,9900,145860,132.0,Netherlands
Volvo,V60,2.0 t4,2020,Petrol,Wagon,Silver,Nijkerk,Automatic,https://autovooru.nl/volvo-v60~165-96d-3c4d5f.html,6,32900,81841,157.0,Netherlands
