Make,Model,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Emission standard,Price(EUR),Mileage(km),kW,Country
Lexus,Ux,2023,Electric,Crossover,Gray,Spillum,Automatic,https://www.nordvik.no/bruktbil/345167679,300e,6,36992.0,2068,152.0,Norway
Lexus,Ux,2023,Electric,Crossover,Green,Leknes,Automatic,https://www.nordvik.no/bruktbil/342158655,300e,6,37775.0,2000,152.0,Norway
Opel,Insignia,2010,Diesel,Wagon,Black,Jessheim,Manual,https://www.finn.no/car/used/ad.html?finnkode=320859508,2.0 CDTi,5,5937.0,221400,82.0,Norway
Volvo,Xc60,2014,Diesel,Crossover,Gray,Drammen,Automatic,https://www.finn.no/car/used/ad.html?finnkode=345282644,2.4 D4,6,20565.0,232000,121.0,Norway
Toyota,Prius,2008,Hybrid,Hatchback,Silver,Stavanger,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344966459,1.5,4,5076.0,150000,58.0,Norway
Citroen,C3,2019,Petrol,Hatchback,Red,Hønefoss,Manual,https://www.finn.no/car/used/ad.html?finnkode=344887960,1.2 puretech,6,10756.0,73000,61.0,Norway
Toyota,Auris,2014,Diesel,Hatchback,Gray,Hønefoss,Manual,https://www.finn.no/car/used/ad.html?finnkode=337246933,1.4 D-4D,6,7314.0,210000,67.0,Norway
Hyundai,I10,2017,Petrol,Mini,White,Stavanger,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344752766,1.0,6,10239.0,26000,49.0,Norway
Bmw,5 Series,2016,Diesel,Sedan,Black,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344738226,520d xDrive,6,21339.0,173000,141.0,Norway
Citroen,C3,2019,Petrol,Hatchback,White,Hønefoss,Automatic,https://www.finn.no/car/used/ad.html?finnkode=345121133,1.2,6,14585.0,30000,82.0,Norway
Audi,A4,2013,Petrol,Sedan,White,Drammen,Manual,https://www.finn.no/car/used/ad.html?finnkode=345246324,1.8,5,11100.0,70000,89.0,Norway
Audi,Q5,2017,Diesel,Suv,Silver,Hønefoss,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344653378,2.0,6,30056.0,190000,141.0,Norway
Mini,One,2011,Diesel,Mini,White,Fredrikstad,Manual,https://www.finn.no/car/used/ad.html?finnkode=344098226,1.6 D,5,5593.0,142800,67.0,Norway
Bmw,5 Series,2016,Diesel,Wagon,Gray,Sarpsborg,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344833889,520d,6,28309.0,107505,121.0,Norway
Volvo,Xc60,2015,Diesel,Crossover,Gray,Larvik,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344306253,2.4 D4,6,33472.0,72750,121.0,Norway
Lexus,Ct,2012,Petrol,Hatchback,Brown,Drammen,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344106675,200h,5,11607.0,130000,73.0,Norway
Jaguar,F-Pace,2018,Diesel,Crossover,Gray,Mandal,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342333006,2.0,6,34359.0,109410,133.0,Norway
Bentley,Flying Spur,2007,Petrol,Sedan,Black,Drammen,Automatic,https://www.finn.no/car/used/ad.html?finnkode=223638903,6.0 W12,4,60233.0,114000,507.0,Norway
Volkswagen,Tiguan,2013,Diesel,Crossover,Silver,Lillehammer,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343722841,2.0 TDI 4Motion,5,14568.0,169500,104.0,Norway
Ford,F Series,2021,Petrol,Pickup,Black,Hokksund,Automatic,https://www.finn.no/car/used/ad.html?finnkode=327787220,3.5,6,85961.0,47000,340.0,Norway
Audi,S7,2012,Petrol,Sedan,Black,Hell,Automatic,https://www.finn.no/car/used/ad.html?finnkode=337188493,4.0,5,47325.0,53175,313.0,Norway
