Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Bmw,X3,D,2015,Diesel,Suv,Black,Lisboa,Automatic,https://www.abmotor.pt/carros/Bmw/X3/477632/,6,26750,210000,141.0,Portugal
Volkswagen,Polo,1.0 tsi,2022,Petrol,Hatchback,Black,Porto,Manual,https://www.abmotor.pt/carros/Vw/Polo/486303/,6,16650,70000,70.0,Portugal
Seat,Leon,1.0,2018,Petrol,Hatchback,Black,Braga,Manual,https://auto.sapo.pt/carro-usado/654214af6116f0345bb7e4cc/seat-leon,6,17990,49000,85.0,Portugal
Bmw,Z4,i,2012,Petrol,Convertible,Black,Porto,Automatic,https://carmine.pt/carros-usados/bmw-z4-28-i-pack-m-245-porto/90f5fe66-01fb-43d9-ac07-8a3f97bc0a32,5,25450,109000,182.0,Portugal
Mazda,Mx-5 Miata,1.5,2022,Petrol,Coupe,Gray,Vila Nova De Gaia,Manual,https://www.custojusto.pt//porto/veiculos/carros-usados/coupe-cabrio/mazda-mx-5-1-5-rf-sky-g-excell-42014409,6,38400,583,98.0,Portugal
Mercedes Benz,C-Class,300,2018,Diesel,Sedan,Blue,Braga,Automatic,https://auto.sapo.pt/carro-usado/652a4ce0c811cf9831bf2d0b/mercedes-benz-classe-c,6,32990,127000,182.0,Portugal
Volkswagen,Polo,1.2,2010,Petrol,Hatchback,Gray,Leiria,Manual,https://auto.sapo.pt/carro-usado/65cddf82fa7067d9e1cbcf97/volkswagen-polo,5,9950,91104,52.0,Portugal
Citroen,C4 Cactus,1.6,2014,Diesel,Hatchback,Black,Feira,Automatic,https://carmine.pt/carros-usados/citroen-c4-cactus-16-e-hdi-shine-etg6-92-aveiro/da6bf023-4643-4759-99c4-24cd56141079,6,13999,122544,68.0,Portugal
Nissan,Juke,1.6,2015,Petrol,Crossover,Gray,Loures,Automatic,https://www.standnet.pt/anuncio/Nissan-Juke-1.6-Tekna-Premium-Xtronic-Gasolina-Usado-iid=46080,6,17900,50800,87.0,Portugal
Audi,A1,1.6 TDI,2011,Diesel,Mini,White,Aveiro,Manual,https://carmine.pt/carros-usados/audi-a1-16-tdi-s-line-90-aveiro/15cea3dc-fdd5-4387-b5ea-34d85fedaa80,5,13500,169000,67.0,Portugal
Mercedes Benz,Slk-Class,200 K,2007,Petrol,Convertible,Gray,Porto,Manual,https://auto.sapo.pt/carro-usado/653a2979911c31234c85e564/mercedes-benz-classe-slk,4,21950,121000,121.0,Portugal
Volvo,V40,1.6,2014,Diesel,Wagon,Black,Porto,Manual,https://carmine.pt/carros-usados/volvo-v40-16-d2-vor-115-porto/f7ef0c89-a0b6-4cb8-8ed9-676ee07422ea,6,15950,50000,85.0,Portugal
Bentley,Continental Gtc,6.0,2007,Petrol,Convertible,Black,Lisboa,Automatic,https://www.abmotor.pt/carros/Bentley/Continental%20GTC/482729/,4,79980,100900,417.0,Portugal
Nissan,Qashqai,1.5 dCi,2020,Diesel,Crossover,Gray,Setúbal,Automatic,https://auto.sapo.pt/carro-usado/65286641ab1f052ad9bc430b/nissan-qashqai,6,28950,98000,85.0,Portugal
Nissan,Qashqai,1.5 dCi,2020,Diesel,Crossover,Gray,Porto,Manual,https://carmine.pt/carros-usados/nissan-qashqai-15-dci-n-connecta-j18-115-porto/1820e868-5998-435d-a1d8-dcbffa452301,6,22450,97000,85.0,Portugal
Audi,A3,2.0 30 TDI,2022,Diesel,Coupe,Black,Vila Real,Manual,https://carmine.pt/carros-usados/audi-a3-30-tdi-116-vila-real/c198f667-f9d5-405e-aeb8-a3523bc9bdd4,6,28990,57573,86.0,Portugal
Kia,Sportage,1.7 CRDi,2014,Diesel,Crossover,White,Santarém,Manual,https://carmine.pt/carros-usados/kia-sportage-17-crdi-isg-tx-navi-115-santarem/48fda5ff-3390-4f25-9d03-c870bb59dbca,6,15980,182743,85.0,Portugal
Audi,A7,3.0 BiTDI V6 Quattro TipTronic,2015,Diesel,Sedan,Black,Porto,Automatic,https://auto.sapo.pt/carro-usado/65ba6a948d5089c4ee2a7a61/audi-a7-30-bitdi-v6-quattro-s-line-tiptronic,6,38000,162048,238.0,Portugal
Mercedes Benz,Slk-Class,200 K,2009,Petrol,Convertible,Black,Porto,Manual,https://carmine.pt/carros-usados/mercedes-classe-slk-slk-200-k-163-porto/75c0384d-6790-47bf-b139-e54184a35de0,5,16900,203535,136.0,Portugal
Ford,S-Max,1.8 TDCi,2006,Diesel,Mpv,Black,Braga,Manual,https://auto.sapo.pt/carro-usado/652fe88ee5167b5ce6d1da91/ford-s-max-20-tdci-titanium-7l,4,8950,259400,93.0,Portugal
Audi,A4,2.0,2010,Diesel,Sedan,Gray,Porto,Manual,https://auto.sapo.pt/carro-usado/65f174beb209b824ba960282/audi-a4,5,9900,341000,101.0,Portugal
Audi,Q7,3.0 TDI,2018,Diesel,Suv,Gray,Porto,Automatic,https://carmine.pt/carros-usados/audi-q7-30-tdi-quattro-s-line-tiptronic-272-porto/a552942f-c54e-4226-b186-f6f894783ed8,6,49500,129000,202.0,Portugal
Volkswagen,Sharan,2.0 TDI,2020,Diesel,Van,Black,Setúbal,Automatic,https://carmine.pt/carros-usados/volkswagen-sharan-20-tdi-confortline-dsg-150-setubal/87a6f04a-b96a-4dc9-bdda-9c1c535ef717,6,43970,65000,111.0,Portugal
Audi,A7,3.0,2016,Diesel,Sedan,Gray,Aveiro,Automatic,https://auto.sapo.pt/carro-usado/652e5eba5b4f2637be7c5090/audi-a7,6,38500,139300,202.0,Portugal
Hyundai,I20,1.1,2014,Diesel,Hatchback,White,Lisboa,Manual,https://auto.sapo.pt/carro-usado/65d772238204cc01f6476a01/hyundai-i20,6,7900,213550,55.0,Portugal
Audi,A4,2.0,2008,Diesel,Sedan,Silver,Porto,Manual,https://carmine.pt/carros-usados/audi-a4-20-tdi-143-porto/c49f0c97-cbca-4bbd-9052-81afc7d35e35,4,12500,244376,106.0,Portugal
Audi,A4,2.0,2008,Diesel,Sedan,Black,Braga,Manual,https://auto.sapo.pt/carro-usado/652f95629a39f4a303b39a4a/audi-a4,4,11990,172000,126.0,Portugal
Kia,Sportage,1.7 CRDi,2017,Diesel,Crossover,White,Coimbra,Automatic,https://carmine.pt/carros-usados/kia-sportage-17-crdi-isg-gt-line-7dct-141-coimbra/63de132a-c99f-48ac-bad4-de8a1fd4da7e,6,23850,149985,105.0,Portugal
Kia,Sportage,1.7 CRDi,2017,Diesel,Crossover,Black,Setúbal,Manual,https://carmine.pt/carros-usados/kia-sportage-17-crdi-isg-tx-115-setubal/14113bf9-9ba2-4f64-8c69-36a6129ada56,6,20990,110503,85.0,Portugal
Audi,A7,3.0 50 TDI quattro,2018,Diesel,Sedan,Gray,Porto,Automatic,https://auto.sapo.pt/carro-usado/6528244b8908934eb656befe/audi-a7,6,43500,143000,213.0,Portugal
Citroen,C3,1.2 puretech,2017,Petrol,Hatchback,Red,Lisboa,Manual,https://carmine.pt/carros-usados/citroen-c3-12-puretech-feel-68-lisboa/99dee5b3-b429-4bd6-96b1-10f3e030a99b,6,11500,112778,50.0,Portugal
