Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Porsche,Cayman,2.5,2017,Petrol,Coupe,White,Constanţa,Automatic,https://www.leasingsh.ro/porsche-cayman-2017-POR42243.html,6,61469,66920,191.0,Romania
Volvo,Xc90,2.0,2018,Petrol,Suv,Black,Constanţa,Automatic,https://www.leasingsh.ro/volvo-xc-90-2018-VOL42245.html,6,48269,50000,170.0,Romania
Volkswagen,T-Cross,1.0 tsi,2021,Petrol,Crossover,Gray,Bucureşti,Automatic,https://www.anuntul.ro/anunt-autoturism-volkswagen-t-cross-BJneWx#NyJo9d%20,6,17493,70400,70.0,Romania
Mazda,3,1.6,2010,Petrol,Hatchback,Black,Cluj Napoca,Manual,https://www.anuntul.ro/anunt-autoturism-mazda-3-kMdvv1#NyJo9d%20,5,6795,163000,77.0,Romania
Volvo,Xc90,2.0,2020,Diesel,Suv,Gray,Bucureşti,Automatic,https://www.leasingsh.ro/volvo-xc-90-2020-VOL51670.html,6,47899,68500,175.0,Romania
Land Rover,Defender,2.0,2020,Diesel,Suv,Silver,Constanţa,Automatic,https://www.leasingsh.ro/land-rover-defender-2020-LAN37755.html,6,68010,44950,179.0,Romania
Bmw,X3,xDrive20d,2021,Diesel,Suv,Black,Otopeni,Automatic,https://www.anuntul.ro/anunt-autoturism-bmw-x3-eaDjEY#NyJo9d%20,6,51741,45735,140.0,Romania
Opel,Mokka,1.6,2022,Diesel,Crossover,White,Bucureşti,Automatic,https://www.leasingsh.ro/opel-mokka-2022-OPE51679.html,6,19500,22300,82.0,Romania
Volkswagen,Tiguan,2.0,2009,Diesel,Crossover,Gray,Bistriţa,Manual,https://cautimasina.ro/volkswagen-tiguan-2009-diesel-second-hand-info-65e331e5d3b470484d0828f6,5,9950,168419,140.0,Romania
Opel,Astra,1.4,2018,Petrol,Hatchback,Blue,Bucureşti,Manual,https://www.bestauto.ro/anunturi/auto-moto/masini-second-hand/opel/astra/anunt/opel-astra-k-24-000-km-reali/2ffgg5i329d076g3e747338e3g665d8g.html,6,15500,24000,75.0,Romania
