Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Peugeot,2008,1.2 puretech,2017,Petrol,Crossover,Gray,Valencia,Manual,https://coches.km77.com/peugeot/2008/en-valencia/2300807/se-vende-peugeot-2008-allure-12-puretech-81kw-110cv-ss-2017-14495-eur,6,14495,81000,100.0,Spain
Peugeot,2008,1.2 puretech,2017,Petrol,Crossover,White,Valencia,Manual,https://coches.km77.com/peugeot/2008/en-valencia/2361677/se-vende-peugeot-2008-style-12l-puretech-81kw-110cv-ss-2017-12595-eur,6,12595,70309,110.0,Spain
Fiat,500,1.4,2009,Petrol,Mini,Orange,Madrid,Manual,https://coches.km77.com/fiat/500/en-madrid/2369531/se-vende-fiat-500-14-lounge-2009-7490-eur,5,7490,100585,74.0,Spain
Ford,Puma,1.0 EcoBoost,2020,Petrol,Crossover,Blue,Valencia,Manual,https://coches.km77.com/ford/puma/en-valencia/2322740/se-vende-ford-puma-10-ecoboost-titanium-92-kw-125-cv-2020-18995-eur,6,18995,75089,115.0,Spain
Hyundai,Santa Fe,2.2 CRDi,2009,Diesel,Suv,Black,Madrid,Manual,https://coches.km77.com/hyundai/santa-fe/en-madrid/2369532/se-vende-hyundai-santa-fe-22crdi-comfort-f-5pl-2009-9990-eur,5,9990,174051,115.0,Spain
Fiat,Tipo,1.6,2017,Diesel,Hatchback,Blue,Girona,Manual,https://coches.km77.com/fiat/tipo/en-girona/2348789/se-vende-fiat-tipo-16-easy-88kw-120cv-diesel-mjet-5p-lounge-2017-12900-eur,6,12900,51000,120.0,Spain
Land Rover,Evoque,2.0,2020,Diesel,Suv,White,Valencia,Automatic,https://coches.km77.com/land-rover/range-rover-evoque/en-valencia/2294350/se-vende-land-rover-range-rover-evoque-20-d150-r-dynamic-se-auto-4wd-mhev-2020-34895-eur,6,34895,44845,111.0,Spain
Peugeot,3008,1.5 bluehdi,2022,Electric,Crossover,White,Valencia,Manual,https://coches.km77.com/peugeot/3008/en-valencia/2329423/se-vende-peugeot-3008-15-bluehdi-96kw-130cv-ss-active-pack-2022-30495-eur,6,30495,22,130.0,Spain
Smart,Forfour,1.0,2015,Petrol,Hatchback,Silver,Madrid,Manual,https://coches.km77.com/smart/forfour/en-madrid/2360975/se-vende-smart-forfour-52-proxy-2015-10890-eur,6,10890,41787,71.0,Spain
Nissan,Micra,1.0,2021,Petrol,Mini,White,Madrid,Manual,https://coches.km77.com/nissan/micra/en-madrid/2382092/se-vende-nissan-micra-ig-t-68-kw-92-cv-e6d-f-acenta-2021-13900-eur,6,13900,52113,68.0,Spain
Škoda,Octavia,2.0 TDI,2020,Diesel,Sedan,Gray,Madrid,Automatic,https://coches.km77.com/skoda/octavia/en-madrid/2347410/se-vende-skoda-octavia-20-tdi-cr-110kw-150cv-dsg-ambition-2020-12499-eur,6,12499,199000,150.0,Spain
Ford,Ecosport,1.5 EcoBlue,2018,Diesel,Suv,Black,San Fernando De Henares,Manual,https://coches.km77.com/ford/ecosport/en-madrid/2384434/se-vende-ford-ecosport-15-ecoblue-4x4-st-li-2018-16295-eur,6,16295,77000,125.0,Spain
Ford,Puma,1.0 EcoBoost,2020,Hybrid,Crossover,Blue,Valencia,Manual,https://coches.km77.com/ford/puma/en-valencia/2372862/se-vende-ford-puma-10-ecoboost-92kw-125cv-mhev-titanium-2020-18695-eur,6,18695,47881,125.0,Spain
Nissan,Qashqai,1.2,2021,Hybrid,Crossover,Blue,San Fernando De Henares,Manual,https://coches.km77.com/nissan/qashqai/en-madrid/2384445/se-vende-nissan-qashqai-13-mhev-12v-acenta-140cv-2021-24295-eur,6,24295,25000,140.0,Spain
Ford,Focus,1.5 TDCi,2017,Diesel,Wagon,Beige,Madrid,Automatic,https://coches.km77.com/ford/focus/en-madrid/2339308/se-vende-ford-focus-sportbreak-titanium-15-tdci-120cv-at6-2017-8999-eur,6,8999,189000,120.0,Spain
Škoda,Scala,1.0 dsg tsi,2020,Petrol,Sedan,Blue,Madrid,Automatic,https://coches.km77.com/skoda/scala/en-madrid/2369583/se-vende-skoda-scala-15-tsi-sport-dsg-110kw-2020-20990-eur,6,20990,67635,110.0,Spain
Audi,Q5,2.0 TDI quattro,2010,Diesel,Suv,Gray,Parla,Automatic,https://coches.km77.com/audi/q5/en-madrid/2363013/se-vende-audi-q5-20-tdi-170cv-quattro-s-tronic-2010-16450-eur,5,16450,119344,201.0,Spain
Jaguar,Xf,2.2,2015,Diesel,Sedan,Blue,Madrid,Automatic,https://coches.km77.com/jaguar/xf/en-madrid/2339286/se-vende-jaguar-xf-22-d-200-cv-r-sport-2015-12700-eur,6,12700,235778,200.0,Spain
Nissan,Qashqai,1.3 DIG-T,2019,Petrol,Crossover,Black,Valencia,Manual,https://coches.km77.com/nissan/qashqai/en-madrid/2394390/se-vende-nissan-qashqai-13-dig-t-103kw-acenta-2019-18295-eur,6,18295,73000,140.0,Spain
Renault,Laguna,2.0 dCi,2009,Diesel,Sedan,Beige,Madrid,Manual,https://coches.km77.com/renault/laguna/en-madrid/2364330/se-vende-renault-laguna-20-dci-dynamic-150cv-5p-2009-7450-eur,5,7450,130000,150.0,Spain
