Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Volvo,Xc90,2.0,2022,Diesel,Suv,Silver,Svarta,Semi Automatic,https://www.bytbil.com/jamtlands-lan/personbil-xc90-r-design-pro-ed-b5-235-hk-awd-bw-se-spec-moms-5031-17528745,6,60812.99999999999,37420,173.0,Sweden
Bmw,X6,xDrive30d,2015,Diesel,Suv,Black,Eskilstuna,Automatic,https://www.blocket.se/annons/1001042692,6,33194.0,100000,190.0,Sweden
Bmw,X6,xDrive40d,2024,Diesel,Suv,Black,Kungsbacka,Automatic,https://www.bytbil.com/hallands-lan/personbil-x6-xdrive40d-m-sport-innovation-ed-bo-drag-varmare-8210-17599270,6,46332.0,92250,230.0,Sweden
Bmw,5 Series,530e,2023,Hybrid,Sedan,Black,Svarta,Automatic,https://www.bytbil.com/stockholms-lan/personbil-530e-iperformance-m-sport-pano-h-k-b-kamera-navi-252hk-11518-17444254,6,33921.299999999996,37990,135.0,Sweden
Audi,Rs7,4.0 TFSI V8,2015,Petrol,Sedan,White,Landvetter,Automatic,https://www.bytbil.com/vastra-gotalands-lan/personbil-rs7-4-0-tfsi-v8-quattro-taklucka-bo-hud-se-spec-7869-17518150,6,48711.299999999996,110000,412.0,Sweden
Bmw,7 Series,740d,2018,Diesel,Sedan,Black,Vallentuna,Automatic,https://www.bytbil.com/stockholms-lan/personbil-740-d-xdrive-limousine-m-sport-laser-hud-h-k-pano-se-utr-9042-17590009,6,48084.0,57000,235.0,Sweden
Nissan,Qashqai,1.6,2014,Diesel,Crossover,White,Kalmar,Automatic,https://www.bytbil.com/kalmar-lan/personbil-qashqai-1-6-dci-130hk-xtronic-cvt-panorama-360-8570-17514165,6,10939.0,189760,96.0,Sweden
Volvo,V70,2.5 D5,2012,Diesel,Wagon,Silver,Karlstad,Automatic,https://bilweb.se/varmlands-lan/volvo-v70-d5-geartronic-momentum-ocean-race-euro5-voc-2012-kombi-10666568,5,9625.0,276000,160.0,Sweden
Audi,Sq5,3.0 TDI,2019,Diesel,Suv,Black,Falun,Automatic,https://www.blocket.se/annons/1001014375,6,46411.0,96010,255.0,Sweden
Volkswagen,Golf,2.0 R,2014,Petrol,Sedan,Silver,Bro,Automatic,https://www.blocket.se/annons/1001075572,6,21432.0,121000,221.0,Sweden
Lexus,Rx,450h,2017,Hybrid,Suv,Black,Stockholm,Automatic,https://www.blocket.se/annons/1001055390,6,34508.0,98490,233.0,Sweden
Bmw,M5,4.4,2019,Petrol,Sedan,Gold,Sigtuna,Automatic,https://www.blocket.se/annons/1000541494,6,64287.0,68350,441.0,Sweden
Mercedes Benz,Gla-Class,45 AMG,2021,Diesel,Crossover,Black,Stockholm,Automatic,https://www.blocket.se/annons/1000184373,6,50782.0,22190,313.0,Sweden
