Make,Model,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Emission standard,Price(EUR),Mileage(km),kW,Country
Škoda,Enyaq,2024,Electric,Suv,Blue,NA,Automatic,https://www.azw.ch/de/angebot/624/skoda-enyaq-iv-60-automat-netto-netto?&page_number=6,electro,6,41175.28,10,134.0,Switzerland
Alfa Romeo,Tonale,2024,Hybrid,Crossover,Gray,NA,Automatic,https://www.azw.ch/de/angebot/1033/alfa-romeo-tonale-1-3-plug-in-hybrid-q4-veloce-pack-premium-automat-35?&page_number=1,1.3,6,49347.3,6,208.0,Switzerland
Volkswagen,Touareg,2018,Diesel,Suv,Black,NA,Automatic,https://www.azw.ch/de/angebot/1014/vw-touareg-3-0tdi-bmt-r-line-262ps-autom?&page_number=9,3.0 TDI,6,41917.91,25500,195.0,Switzerland
Volkswagen,Golf,2024,Diesel,Sedan,Black,NA,Automatic,https://www.azw.ch/de/angebot/1165/vw-golf-2-0-tdi-r-line-dsg-automat-30?&page_number=8,2.0 TDI,6,36930.65,11,111.0,Switzerland
Volkswagen,T-Cross,2024,Petrol,Crossover,Silver,NA,Automatic,https://www.azw.ch/de/angebot/1044/vw-t-cross-1-0-tsi-evo-style-r-line-aut-35?&page_number=9,1.0 tsi,6,30244.920000000002,10,82.0,Switzerland
Cupra,Formentor,2021,Petrol,Crossover,Red,NA,Automatic,https://www.azw.ch/de/angebot/67/cupra-formentor-2-0tsi-vz-4drive-dsg-automat?&page_number=3,2.0 tsi vz,6,31624.09,29100,231.0,Switzerland
Renault,Master,2024,Diesel,Van,Gray,NA,Manual,https://www.azw.ch/de/angebot/171/renault-master-stx-pferdetransporter-2-3-dci-165?&page_number=6,2.3,6,73755.21,1000,121.0,Switzerland
Ford,Kuga,2023,Diesel,Suv,Black,NA,Automatic,https://www.azw.ch/de/angebot/83/ford-kuga-2-0-tdci-ecoblue-st-line-x-4wd-automat?&page_number=3,2.0 TDCi,6,34489.55,6900,141.0,Switzerland
Seat,Leon,2021,Petrol,Hatchback,Black,NA,Automatic,https://www.azw.ch/de/angebot/344/seat-leon-1-4-ehybrid-plug-in-hybrid-fr-dsg-automat?&page_number=6,1.2 TSI,6,22816.56,20900,152.0,Switzerland
Hyundai,Santa Fe,2023,Hybrid,Suv,Gray,NA,Automatic,https://www.azw.ch/de/angebot/1209/hyundai-santa-fe-1-6-t-gdi-phev-ultimate-4wd-automat-7-plaetzer?&page_number=3,1.6,6,48603.64,28400,197.0,Switzerland
Alfa Romeo,Tonale,2024,Hybrid,Crossover,Blue,NA,Automatic,https://www.azw.ch/de/angebot/1030/alfa-romeo-tonale-1-3-plug-in-hybrid-q4-veloce-automat-31?&page_number=1,1.3,6,48285.37,58,208.0,Switzerland
Volkswagen,Golf,2024,Diesel,Sedan,Black,NA,Automatic,https://www.azw.ch/de/angebot/1201/vw-golf-2-0-tdi-r-line-dsg-automat-30?&page_number=8,2.0 TDI,6,36930.65,8,111.0,Switzerland
Volkswagen,Passat,2021,Diesel,Wagon,Silver,NA,Automatic,https://www.azw.ch/de/angebot/995/vw-passat-variant-2-0-tdi-bmt-business-dsg-automat?&page_number=9,2.0 TDI,6,23028.74,31500,111.0,Switzerland
Škoda,Kodiaq,2023,Petrol,Suv,White,NA,Automatic,https://www.azw.ch/de/angebot/1042/skoda-kodiaq-2-0-tsi-4x4-style-7-plaetzer-dsg-automat?&page_number=7,2.0 2.0 4x4 tsi,6,40114.380000000005,30900,141.0,Switzerland
Volkswagen,Passat,2020,Diesel,Wagon,Black,NA,Automatic,https://www.azw.ch/de/angebot/991/vw-passat-variant-2-0-tdi-bmt-business-dsg-automat?&page_number=9,2.0 TDI,6,22603.350000000002,40300,111.0,Switzerland
Seat,Alhambra,2022,Petrol,Mpv,Black,NA,Automatic,https://www.azw.ch/de/angebot/1228/seat-alhambra-1-4-tsi-fr-line-7-plaetzer-dsg-automat?&page_number=6,1.4 TSI,6,37461.1,39100,111.0,Switzerland
Škoda,Octavia,2023,Diesel,Wagon,Black,NA,Automatic,https://www.azw.ch/de/angebot/1142/skoda-octavia-combi-2-0-tdi-style-dsg-automat?&page_number=7,2.0 TDI,6,33746.92,8100,111.0,Switzerland
Volkswagen,T-Cross,2022,Petrol,Crossover,Silver,NA,Automatic,https://www.azw.ch/de/angebot/1066/vw-t-cross-1-0-tsi-life-dsg-automat?&page_number=9,1.0 tsi,6,21118.09,26100,82.0,Switzerland
Škoda,Kodiaq,2024,Diesel,Suv,Black,NA,Automatic,https://www.azw.ch/de/angebot/1117/skoda-kodiaq-2-0-tdi-cr-sportline-4x4-dsg-automat-7-plaetzer-30?&page_number=7,2.0 2.0 4x4 tdi,6,47224.47,21,149.0,Switzerland
Bmw,2 Series,2022,Diesel,Sedan,Gray,NA,Automatic,https://www.azw.ch/de/angebot/1180/bmw-220d-gran-coupe-m-sport-steptronic-aut?&page_number=2,220D,6,35550.450000000004,15200,141.0,Switzerland
Seat,Ateca,2024,Petrol,Suv,White,NA,Automatic,https://www.azw.ch/de/angebot/1113/seat-ateca-1-5-tsi-evo-style-dsg-auto-30?&page_number=6,1.5 tsi,6,28440.36,18,111.0,Switzerland
Mazda,Cx-5,2023,Petrol,Crossover,Black,NA,Automatic,https://www.azw.ch/de/angebot/964/mazda-cx-5-e-skyactiv-g-165-homura-fwd-automat?&page_number=4,2.0,6,31624.09,9300,123.0,Switzerland
Mazda,Cx-5,2023,Petrol,Crossover,Black,NA,Automatic,https://www.azw.ch/de/angebot/927/mazda-cx-5-e-skyactiv-g-165-homura-fwd-automat?&page_number=4,2.0,6,31624.09,9200,123.0,Switzerland
Peugeot,3008,2023,Diesel,Crossover,Black,NA,Automatic,https://www.azw.ch/de/angebot/937/peugeot-3008-1-5-bluehdi-allure-pack-eat-autom?&page_number=5,1.5 bluehdi,6,27379.46,33200,96.0,Switzerland
Mazda,Cx-5,2023,Petrol,Crossover,Gray,NA,Automatic,https://www.azw.ch/de/angebot/962/mazda-cx-5-e-skyactiv-g-165-homura-fwd-automat?&page_number=4,2.0,6,31624.09,10600,123.0,Switzerland
Bentley,Bentayga,2021,Petrol,Suv,Gray,NA,Automatic,https://www.azw.ch/de/angebot/1188/bentley-bentayga-v8-design-series-550ps?&page_number=2,4.0 V8,6,168205.18,14900,410.0,Switzerland
Bmw,X4,2019,Petrol,Suv,Black,NA,Automatic,https://www.azw.ch/de/angebot/693/bmw-x4-xdrive-20i-m-sport-x-steptronic-automat?&page_number=2,20i xDrive,6,41917.91,26100,137.0,Switzerland
Volkswagen,T-Cross,2022,Petrol,Crossover,Black,NA,Automatic,https://www.azw.ch/de/angebot/1065/vw-t-cross-1-0-tsi-life-dsg-automat?&page_number=9,1.0 tsi,6,20693.73,22700,82.0,Switzerland
Nissan,Micra,2022,Petrol,Mini,Gray,NA,Automatic,https://www.azw.ch/de/angebot/1136/nissan-micra-ig-t-acenta-xtronic-automat?&page_number=5,1.0,6,17934.36,14300,68.0,Switzerland
Bmw,X1,2023,Petrol,Suv,Black,NA,Automatic,https://www.azw.ch/de/angebot/791/bmw-x1-sdrive-18i-m-sport-neues-modell-steptr-automat?&page_number=2,18i sDrive,6,44359.01,9100,101.0,Switzerland
Bmw,X1,2023,Petrol,Suv,Black,NA,Automatic,https://www.azw.ch/de/angebot/1128/bmw-x1-sdrive-18i-m-sport-neues-modell-steptr-automat?&page_number=2,18i sDrive,6,44359.01,3200,101.0,Switzerland
Audi,Tt,2023,Petrol,Coupe,Gray,NA,Automatic,https://www.azw.ch/de/angebot/1111/audi-tt-coupe-ttrs-quattro-s-tronic-automat-400ps?&page_number=2,2.5,6,70889.75,8600,298.0,Switzerland
Bmw,3 Series,2023,Petrol,Sedan,Black,NA,Automatic,https://www.azw.ch/de/angebot/876/bmw-330i-xdrive-m-sport-steptronic-automat?&page_number=2,330i,6,48603.64,22100,182.0,Switzerland
Citroen,C5 Aircross,2023,Diesel,Suv,Black,NA,Automatic,https://www.azw.ch/de/angebot/1149/citroen-c5-aircross-1-5-bluehdi-prestige-eat-automat?&page_number=2,1.5 bluehdi,6,24195.73,33300,97.0,Switzerland
Citroen,C5 Aircross,2023,Diesel,Suv,Black,NA,Automatic,https://www.azw.ch/de/angebot/1067/citroen-c5-aircross-1-5-bluehdi-prestige-eat-automat?&page_number=2,1.5 bluehdi,6,24195.73,29300,97.0,Switzerland
Land Rover,Range Rover Sport,2014,Petrol,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/95/land-rover-range-rover-sport-5-0-v8-sc-510ps-autobiography-dynamica?&page_number=4,5.0,6,50408.200000000004,112600,380.0,Switzerland
Opel,Mokka,2022,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1027/opel-mokka-1-2-direct-injection-turbo-gs-line-automat?&page_number=5,1.2,6,23877.46,16300,96.0,Switzerland
Škoda,Kamiq,2020,Diesel,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/1168/skoda-kamiq-1-6-tdi-style-dsg-automat?&page_number=7,1.6 TDI,6,25362.72,22200,85.0,Switzerland
Tesla,Model 3,2023,Electric,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/895/tesla-model-3-performance-dual-motor-awd-534ps-automat?&page_number=7,0.0 performance,6,40114.380000000005,18200,398.0,Switzerland
Tesla,Model 3,2023,Electric,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/894/tesla-model-3-performance-dual-motor-awd-534ps-automat?&page_number=7,0.0 performance,6,40114.380000000005,17700,398.0,Switzerland
Tesla,Model 3,2023,Electric,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/849/tesla-model-3-performance-dual-motor-awd-534ps-automat?&page_number=7,0.0 performance,6,40114.380000000005,17300,398.0,Switzerland
Tesla,Model 3,2023,Electric,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/1078/tesla-model-3-performance-dual-motor-awd-534ps-automat?&page_number=7,0.0 performance,6,42237.21,13500,398.0,Switzerland
Tesla,Model Y,2022,Electric,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/840/tesla-model-y-performance-awd-534ps-autom?&page_number=7,0.0 performance,6,47648.83,15900,398.0,Switzerland
Cupra,Formentor,2023,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1101/cupra-formentor-2-0tsi-vz-310ps-4drive-dsg-automat?&page_number=3,2.0 tsi vz,6,35975.840000000004,11200,231.0,Switzerland
Mitsubishi,Asx,2024,Hybrid,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1242/mitsubishi-asx-1-3-intense-mhev-automat-29?&page_number=5,1.3,6,27379.46,9,119.0,Switzerland
Mitsubishi,Asx,2024,Hybrid,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1243/mitsubishi-asx-1-3-intense-mhev-automat-29?&page_number=5,1.3,6,27379.46,8,119.0,Switzerland
Mitsubishi,Asx,2024,Hybrid,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1244/mitsubishi-asx-1-3-intense-mhev-automat-29?&page_number=5,1.3,6,27379.46,10,119.0,Switzerland
Peugeot,2008,2022,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/148/peugeot-2008-1-2-puretech-gt-eat-automat?&page_number=5,1.2 puretech,6,23134.83,30100,96.0,Switzerland
Volkswagen,Arteon,2023,Petrol,Wagon,NA,NA,Automatic,https://www.azw.ch/de/angebot/1186/vw-arteon-sb-2-0-tsi-r-line-dsg-automat?&page_number=8,2.0 TSI,6,37673.28,19100,141.0,Switzerland
Volkswagen,Golf,2024,Diesel,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/1202/vw-golf-2-0-tdi-r-line-dsg-automat-30?&page_number=8,2.0 TDI,6,36930.65,12,111.0,Switzerland
Citroen,C4 Spacetourer,2021,Diesel,Mpv,NA,NA,Automatic,https://www.azw.ch/de/angebot/1189/citroen-grand-c4-spacetourer-2-0-bluehdi-shine-eat-automat-7-plaetzer?&page_number=3,2.0 bluehdi,6,26318.56,40900,121.0,Switzerland
Volkswagen,Golf,2024,Diesel,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/1164/vw-golf-2-0-tdi-r-line-dsg-automat-29?&page_number=8,2.0 TDI,6,36930.65,9,111.0,Switzerland
Volkswagen,Taigo,2024,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1178/vw-taigo-1-0-tsi-life-dsg-automat-34?&page_number=9,1.0 tsi,6,25256.63,79,82.0,Switzerland
