Make,Model,Trim,Year,Mileage(km),kW,Fuel type,Body type,Color,Transmission,Emission standard,Country,City,Price(EUR)
Audi,A8,3.0 55 tfsi quattro,2018,114500,253.0,Petrol,Sedan,Black,Automatic,6,Austria,Bruck An Der Mur,52490.0
Volkswagen,Taigo,1.0 tsi,2023,22000,82.0,Petrol,Crossover,Black,Automatic,6,Austria,Bruck An Der Mur,27990.0
Mazda,Cx-60,3.3,2023,16500,149.0,Hybrid,Suv,Blue,Automatic,6,Austria,Wels,49980.0
Mercedes Benz,E-Class,430,2016,174620,101.0,Diesel,Wagon,Gray,Automatic,6,Austria,Bruck An Der Mur,19990.0
Ford,Mustang,5.0,2020,25800,335.0,Petrol,Coupe,Red,Automatic,6,Austria,Salzburg,56890.0
Alfa Romeo,Tonale,1.3,2024,10,208.0,Hybrid,Crossover,Red,Automatic,6,Austria,Amstetten,59940.0
Audi,Q5,2.0 40 tdi quattro,2023,12600,152.0,Diesel,Suv,Black,Automatic,6,Austria,Eisenstadt,74900.0
Lexus,Nx,300h,2021,27726,146.0,Petrol,Suv,Black,Automatic,6,Austria,Enns,40500.0
Mclaren,600lt,3.8 spider,2022,39,447.0,Petrol,Convertible,Silver,Automatic,6,Austria,Wiener Neustadt,399870.0
Audi,A5,2.0 tfsi,2010,83000,134.0,Petrol,Convertible,Black,Automatic,5,Austria,Leoben,17900.0
Alfa Romeo,Stelvio,2.0,2017,105323,155.0,Diesel,Crossover,Gray,Automatic,6,Austria,Amstetten,28940.0
Opel,Mokka,1.7,2015,77000,97.0,Diesel,Crossover,White,Manual,6,Austria,Braunau Am Inn,12499.0
Mercedes Benz,C-Class,180,2021,76910,90.0,Diesel,Wagon,Red,Automatic,6,Austria,Eisenstadt,29900.0
Land Rover,Evoque,2.0,2017,102900,134.0,Diesel,Suv,Gray,Automatic,6,Austria,Graz,27590.0
Ford,S-Max,2.0 ecoblue,2020,108200,111.0,Diesel,Mpv,White,Manual,6,Austria,Telfs,24987.0
Audi,A6,2.7,2009,250000,141.0,Diesel,Sedan,Silver,Manual,5,Austria,Salzburg,8900.0
Volkswagen,Transporter,2.0,2023,56067,152.0,Diesel,Van,Black,Automatic,6,Austria,Graz,83900.0
Bmw,X5,xdrive30d,2022,99800,213.0,Diesel,Suv,Black,Automatic,6,Austria,Leoben,65990.0
Volkswagen,Touran,1.5 tsi,2018,88713,111.0,Petrol,Mpv,Gray,Automatic,6,Austria,Steyr,24490.0
Ford,Ecosport,1.0,2020,29975,93.0,Petrol,Suv,White,Manual,6,Austria,Hollabrunn,16990.0
Porsche,Cayenne,3.0 diesel,2011,256000,182.0,Diesel,Suv,Black,Automatic,5,Austria,Braunau Am Inn,25999.0
Audi,A6,3.0 tdi quattro tiptronic,2019,86200,213.0,Diesel,Sedan,Gray,Automatic,6,Austria,Leoben,39890.0
Volkswagen,Passat,2.0 tdi scr,2019,94187,111.0,Diesel,Wagon,Silver,Manual,6,Austria,Wolfsberg,18790.0
Volkswagen,Passat,2.0 tdi scr,2019,77167,111.0,Diesel,Wagon,Black,Automatic,6,Austria,Wels,18990.0
Alfa Romeo,Giulietta,1.4,2012,166300,126.0,Petrol,Sedan,Red,Automatic,5,Austria,Linz,7990.0
Bmw,X3,d,2005,179000,162.0,Diesel,Suv,Silver,Automatic,4,Austria,Linz,9900.0
Audi,A5,2.0 35 tdi s tronic,2020,120000,121.0,Diesel,Sedan,Black,Automatic,6,Austria,Steyr,32999.0
Audi,Tt,2.0 45 tfsi quattro,2019,15142,182.0,Petrol,Convertible,Black,Automatic,6,Austria,Salzburg,44890.0
Ford,Mondeo,2.0 tdci,2018,107000,111.0,Diesel,Wagon,Gray,Automatic,6,Austria,Steyr,17850.0
Ford,Mondeo,2.0 tdci,2018,105000,111.0,Diesel,Wagon,White,Automatic,6,Austria,Steyr,17850.0
Ford,Mondeo,2.0 tdci,2018,102450,134.0,Diesel,Wagon,Gray,Manual,6,Austria,Salzburg,20900.0
Hyundai,Tucson,1.6 crdi,2023,62,101.0,Diesel,Suv,Gray,Automatic,6,Austria,Rankweil,48450.0
Škoda,Octavia,2.0,2024,100,111.0,Diesel,Wagon,Gray,Automatic,6,Austria,Villach,43990.0
Volkswagen,Tiguan,2.0 tdi 4motion,2023,16053,111.0,Diesel,Crossover,Gray,Automatic,6,Austria,Wien,49990.0
Volkswagen,Sharan,2.0 tdi,2015,180000,104.0,Diesel,Van,Brown,Automatic,6,Austria,Schwechat,18999.0
Volkswagen,Sharan,2.0 tdi,2015,159000,111.0,Diesel,Van,Black,Automatic,6,Austria,Salzburg,18450.0
Volkswagen,Transporter,2.0,2020,120924,111.0,Diesel,Van,Silver,Manual,6,Austria,Hall In Tirol,41990.0
Jeep,Compass,1.6,2023,23758,97.0,Diesel,Crossover,Green,Automatic,6,Austria,Brunn Am Gebirge,41990.0
Honda,Hr-V,1.5 vtec turbo,2020,20000,135.0,Petrol,Crossover,Gray,Automatic,6,Austria,Wels,23990.0
Dacia,Lodgy,1.2 tce,2021,15537,97.0,Petrol,Mpv,White,Manual,6,Austria,Wien,14880.0
Aston Martin,V12 Vantage,6.0 v12,2023,1350,521.0,Petrol,Convertible,Green,Automatic,6,Austria,Wiener Neustadt,609870.0
Volkswagen,Sharan,2.0 tdi,2016,123924,111.0,Diesel,Van,Silver,Manual,6,Austria,Linz,22690.0
Audi,A8,3.0 tdi,2015,172000,195.0,Diesel,Sedan,Gray,Automatic,6,Austria,Salzburg,38800.0
Ford,Transit Custom,2.0,2021,22000,137.0,Diesel,Van,Gray,Automatic,6,Austria,Wien,69900.0
Hyundai,I10,1.2,2023,1,62.0,Petrol,Mini,Red,Automatic,6,Austria,Linz,17690.0
Volvo,Xc40,2.0 d3 awd,2020,73350,111.0,Diesel,Crossover,Gray,Automatic,6,Austria,Innsbruck,34900.0
Volvo,Xc40,2.0 d4 awd,2020,69000,141.0,Diesel,Crossover,Red,Automatic,6,Austria,Wels,35990.0
Mclaren,570gt,3.8,2017,33000,425.0,Petrol,Coupe,Orange,Automatic,6,Austria,Salzburg,199999.0
Škoda,Kodiaq,2.0 4x4 dsg tdi,2023,6213,149.0,Diesel,Suv,Gray,Automatic,6,Austria,Linz,56840.0
Maserati,Grecale,2.0 gt,2022,18400,224.0,Hybrid,Suv,Blue,Automatic,6,Austria,Wien,99900.0
Volkswagen,Sharan,2.0 tdi,2017,169000,86.0,Diesel,Van,White,Manual,6,Austria,Steyr,18840.0
Bmw,X3,xdrive20d,2012,228000,137.0,Diesel,Suv,Black,Automatic,5,Austria,Lienz,15900.0
Jeep,Renegade,2.0,2015,160000,89.0,Diesel,Crossover,White,Manual,6,Austria,Salzburg,15900.0
Bmw,X3,30d,2012,151903,192.0,Diesel,Suv,Black,Automatic,5,Austria,Innsbruck,19900.0
Bmw,X3,xdrive20d,2012,148000,137.0,Diesel,Suv,Black,Automatic,5,Austria,Lustenau,19950.0
Mercedes Benz,C-Class,220 cdi,2011,221000,126.0,Diesel,Sedan,Black,Automatic,5,Austria,Braunau Am Inn,11999.0
Hyundai,I30,1.0,2019,53200,89.0,Petrol,Wagon,Brown,Manual,6,Austria,Linz,15490.0
Bmw,Z4,i,2008,109000,131.0,Petrol,Convertible,Black,Manual,4,Austria,Steyr,15499.0
Audi,A4 Allroad,2.0 tdi,2012,214000,131.0,Diesel,Crossover,Brown,Manual,5,Austria,Salzburg,13990.0
Audi,Tt,2.0 tfsi,2007,151000,149.0,Petrol,Coupe,Black,Manual,4,Austria,Salzburg,11500.0
Bmw,X3,xdrive20d,2013,170000,137.0,Diesel,Suv,Black,Automatic,5,Austria,Braunau Am Inn,18499.0
Ford,Focus,1.5 tdci,2017,116000,78.0,Diesel,Wagon,Gray,Manual,6,Austria,Steyr,10980.0
Bmw,3 Series,316d,2018,109000,86.0,Diesel,Wagon,Blue,Manual,6,Austria,Steyr,17450.0
Volkswagen,Golf,2.0 r,2019,60804,224.0,Petrol,Sedan,Gray,Automatic,6,Austria,Graz,36950.0
Volkswagen,Golf,1.0 tsi,2019,32000,86.0,Petrol,Sedan,White,Automatic,6,Austria,Wien,19900.0
Volkswagen,Transporter,2.0 tsi,2022,13580,152.0,Petrol,Van,Black,Automatic,6,Austria,Salzburg,72990.0
Volkswagen,Sharan,2.0 tdi,2019,169057,111.0,Diesel,Van,Silver,Automatic,6,Austria,Wien,19980.0
Hyundai,Tucson,1.6 crdi,2024,3000,101.0,Diesel,Suv,White,Automatic,6,Austria,Innsbruck,45990.0
Land Rover,Evoque,2.0,2020,49280,133.0,Diesel,Suv,Gray,Automatic,6,Austria,Linz,42900.0
Volkswagen,Passat,2.0 tdi,2018,93200,111.0,Diesel,Wagon,Silver,Manual,6,Austria,Graz,16990.0
Fiat,Tipo,1.4,2019,88715,89.0,Petrol,Hatchback,Black,Manual,6,Austria,Wien,12880.0
Seat,Leon,1.5 tsi,2019,20840,111.0,Petrol,Hatchback,Black,Manual,6,Austria,Leoben,17990.0
Mercedes Benz,Glc-Class,300 4matic,2022,16224,182.0,Diesel,Suv,Black,Automatic,6,Austria,Schwaz,76990.0
Bentley,Continental Gt,6.0,2018,12657,473.0,Petrol,Coupe,White,Automatic,6,Austria,Wiener Neustadt,248670.0
Porsche,911,3.0,2020,14428,335.0,Petrol,Coupe,Black,Automatic,6,Austria,Innsbruck,184900.0
Mazda,6,2.2 cd,2013,194550,111.0,Diesel,Wagon,Gray,Manual,5,Austria,Linz,9900.0
Mercedes Benz,E-Class,200 cgi be,2009,162000,137.0,Petrol,Sedan,Black,Automatic,5,Austria,Villach,15890.0
Ford,Focus,1.5 tdci,2019,111500,89.0,Diesel,Wagon,Orange,Manual,6,Austria,Salzburg,16900.0
Hyundai,I30,1.0,2024,7,89.0,Petrol,Wagon,Gray,Manual,6,Austria,Innsbruck,26365.0
Jeep,Compass,1.6,2022,46800,97.0,Diesel,Crossover,Gray,Manual,6,Austria,Salzburg,27990.0
Jeep,Compass,1.3,2022,34330,111.0,Petrol,Crossover,Blue,Automatic,6,Austria,Villach,29990.0
Jeep,Compass,1.3,2022,32921,111.0,Petrol,Crossover,Green,Automatic,6,Austria,Villach,29990.0
Jeep,Compass,1.3,2022,26220,97.0,Petrol,Crossover,Silver,Manual,6,Austria,Amstetten,31440.0
Audi,Q7,3.0 tdi,2012,165000,152.0,Diesel,Suv,Gray,Automatic,5,Austria,Wien,21900.0
Peugeot,508,2.0 hdi,2019,34000,134.0,Diesel,Sedan,White,Automatic,6,Austria,Kufstein,29890.0
Bmw,X3,20d,2016,146621,137.0,Diesel,Suv,White,Automatic,6,Austria,Salzburg,27890.0
Audi,A3,2.0 30 tdi,2022,27220,86.0,Diesel,Sedan,White,Manual,6,Austria,Salzburg,27900.0
Land Rover,Discovery,3.0,2018,60672,253.0,Petrol,Suv,Black,Automatic,6,Austria,Wiener Neustadt,63990.0
Mercedes Benz,C-Class,180,2015,118000,86.0,Diesel,Sedan,White,Automatic,6,Austria,Wien,19890.0
Volkswagen,California,2.0,2022,18477,152.0,Diesel,Van,White,Automatic,6,Austria,Graz,95950.0
Aston Martin,Dbx,4.0,2023,9718,527.0,Petrol,Suv,White,Automatic,6,Austria,Wiener Neustadt,325870.0
Bmw,X3,xdrive20d,2017,190000,141.0,Diesel,Suv,Gray,Manual,6,Austria,Ried Im Innkreis,24500.0
Toyota,Corolla,1.8,2023,5555,73.0,Petrol,Sedan,Black,Automatic,6,Austria,Wien,29790.0
Opel,Grandland X,1.2,2020,55000,97.0,Petrol,Suv,White,Automatic,6,Austria,Eisenstadt,22800.0
Mercedes Benz,Gle-Class,350,2020,79681,202.0,Diesel,Suv,White,Automatic,6,Austria,Salzburg,71890.0
Volkswagen,Tiguan,2.0,2023,9626,111.0,Diesel,Crossover,Gray,Automatic,6,Austria,Wien,47290.0
Hyundai,I30,1.4,2018,67900,75.0,Petrol,Wagon,Silver,Manual,6,Austria,Linz,14190.0
Audi,Q2,1.0 30 tfsi,2023,6575,82.0,Petrol,Crossover,White,Manual,6,Austria,Kufstein,28390.0
Bmw,X1,xdrive18d,2017,95600,111.0,Diesel,Suv,Silver,Automatic,6,Austria,Linz,23490.0
Land Rover,Range Rover Velar,2.0,2022,24900,152.0,Diesel,Suv,Blue,Automatic,6,Austria,Linz,64900.0
Nissan,Micra,1.0,2019,14800,75.0,Petrol,Mini,Blue,Manual,6,Austria,Stockerau,11890.0
Audi,Q7,3.0,2015,154500,202.0,Diesel,Suv,Gray,Automatic,6,Austria,Hallein,39990.0
Škoda,Rapid,1.6 tdi,2013,113000,78.0,Diesel,Sedan,Blue,Manual,5,Austria,Steyr,8999.0
Ford,Ecosport,1.0,2019,65566,93.0,Petrol,Suv,Gray,Manual,6,Austria,Hollabrunn,15990.0
Suzuki,Vitara,1.4,2023,15590,96.0,Petrol,Suv,Yellow,Manual,6,Austria,Telfs,23900.0
Suzuki,Vitara,1.4,2023,12450,96.0,Petrol,Suv,Gray,Manual,6,Austria,Telfs,23900.0
Mazda,Cx-30,2.0,2020,27000,90.0,Petrol,Crossover,Red,Manual,6,Austria,Salzburg,21990.0
Peugeot,5008,1.2 puretech,2020,35000,97.0,Petrol,Mpv,Black,Automatic,6,Austria,Graz,29900.0
Mercedes Benz,Amg Gt,3.0 53,2019,150492,324.0,Petrol,Sedan,Blue,Semi Automatic,6,Austria,Wien,84220.0
Seat,Arona,1.0 tsi,2023,14783,82.0,Petrol,Crossover,White,Automatic,6,Austria,Klagenfurt,28490.0
Mercedes Benz,C-Class,200 d,2018,134315,111.0,Diesel,Wagon,Black,Automatic,6,Austria,Salzburg,22990.0
